GKSL,WKL,GKSL_encoded,WKL_encoded
항공 배달 어디 곳 ?,공항 내 택배를 보낼 수 있는 위치는 어디입니까?,"[2, 4993, 2287, 5793, 3223, 1021, 633, 3]","[2, 1055, 1434, 517, 7601, 6312, 6116, 2355, 5683, 2872, 3860, 3563, 5760, 3223, 7138, 5771, 258, 3]"
항공 배달 곳 어디 ?,공항 내 택배를 보낼 수 있는 위치는 어디입니까?,"[2, 4993, 2287, 5793, 1021, 3223, 633, 3]","[2, 1055, 1434, 517, 7601, 6312, 6116, 2355, 5683, 2872, 3860, 3563, 5760, 3223, 7138, 5771, 258, 3]"
항공 배달 어디 ?,공항 내 택배를 보낼 수 있는 위치는 어디입니까?,"[2, 4993, 2287, 5793, 3223, 633, 3]","[2, 1055, 1434, 517, 7601, 6312, 6116, 2355, 5683, 2872, 3860, 3563, 5760, 3223, 7138, 5771, 258, 3]"
항공 배달 곳 ?,공항 내 택배를 보낼 수 있는 위치는 어디입니까?,"[2, 4993, 2287, 5793, 1021, 633, 3]","[2, 1055, 1434, 517, 7601, 6312, 6116, 2355, 5683, 2872, 3860, 3563, 5760, 3223, 7138, 5771, 258, 3]"
항공 배달 어디 곳 ?,공항 내 택배를 보낼 수 있는 장소는 어디입니까?,"[2, 4993, 2287, 5793, 3223, 1021, 633, 3]","[2, 1055, 1434, 517, 7601, 6312, 6116, 2355, 5683, 2872, 3860, 3962, 5760, 3223, 7138, 5771, 258, 3]"
항공 배달 곳 어디 ?,공항 내 택배를 보낼 수 있는 장소는 어디입니까?,"[2, 4993, 2287, 5793, 1021, 3223, 633, 3]","[2, 1055, 1434, 517, 7601, 6312, 6116, 2355, 5683, 2872, 3860, 3962, 5760, 3223, 7138, 5771, 258, 3]"
항공 배달 어디 ?,공항 내 택배를 보낼 수 있는 장소는 어디입니까?,"[2, 4993, 2287, 5793, 3223, 633, 3]","[2, 1055, 1434, 517, 7601, 6312, 6116, 2355, 5683, 2872, 3860, 3962, 5760, 3223, 7138, 5771, 258, 3]"
항공 배달 곳 ?,공항 내 택배를 보낼 수 있는 장소는 어디입니까?,"[2, 4993, 2287, 5793, 1021, 633, 3]","[2, 1055, 1434, 517, 7601, 6312, 6116, 2355, 5683, 2872, 3860, 3962, 5760, 3223, 7138, 5771, 258, 3]"
호텔 항공 가깝다 어디 곳 ?,공항 주위에 호텔은 어디있나요?,"[2, 5095, 4993, 517, 5330, 5599, 5782, 3223, 1021, 633, 3]","[2, 1055, 4213, 7051, 5095, 7086, 3223, 7141, 5655, 6999, 258, 3]"
호텔 항공 가깝다 곳 어디 ?,공항 주위에 호텔은 어디있나요?,"[2, 5095, 4993, 517, 5330, 5599, 5782, 1021, 3223, 633, 3]","[2, 1055, 4213, 7051, 5095, 7086, 3223, 7141, 5655, 6999, 258, 3]"
호텔 항공 가깝다 어디 ?,공항 주위에 호텔은 어디있나요?,"[2, 5095, 4993, 517, 5330, 5599, 5782, 3223, 633, 3]","[2, 1055, 4213, 7051, 5095, 7086, 3223, 7141, 5655, 6999, 258, 3]"
호텔 항공 가깝다 곳 ?,공항 주위에 호텔은 어디있나요?,"[2, 5095, 4993, 517, 5330, 5599, 5782, 1021, 633, 3]","[2, 1055, 4213, 7051, 5095, 7086, 3223, 7141, 5655, 6999, 258, 3]"
공항 버스 곳 전 보다 도착 차내리다,공항버스정류소 못가서 내려주세요.,"[2, 1055, 2305, 1021, 4012, 2368, 1723, 4402, 5678, 6122, 5782, 3]","[2, 1055, 6326, 7227, 6107, 6607, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 전 곳 보다 도착 내리다,공항버스정류소 못가서 내려주세요.,"[2, 1055, 2305, 4012, 1021, 2368, 1723, 1444, 5782, 3]","[2, 1055, 6326, 7227, 6107, 6607, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 전 곳 보다 도착 차내리다,공항버스정류소 못가서 내려주세요.,"[2, 1055, 2305, 4012, 1021, 2368, 1723, 4402, 5678, 6122, 5782, 3]","[2, 1055, 6326, 7227, 6107, 6607, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 곳 전 보다 저기,공항버스정류소 못가서 내려주세요.,"[2, 1055, 2305, 1021, 4012, 2368, 3990, 5561, 3]","[2, 1055, 6326, 7227, 6107, 6607, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 전 곳 보다 저기,공항버스정류소 못가서 내려주세요.,"[2, 1055, 2305, 4012, 1021, 2368, 3990, 5561, 3]","[2, 1055, 6326, 7227, 6107, 6607, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 보다 곳 전 내리다,공항버스정류소 못가서 내려주세요.,"[2, 1055, 2305, 2368, 1021, 4012, 1444, 5782, 3]","[2, 1055, 6326, 7227, 6107, 6607, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 보다 곳 전 차내리다,공항버스정류소 못가서 내려주세요.,"[2, 1055, 2305, 2368, 1021, 4012, 4402, 5678, 6122, 5782, 3]","[2, 1055, 6326, 7227, 6107, 6607, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 보다 전 곳 내리다,공항버스정류소 못가서 내려주세요.,"[2, 1055, 2305, 2368, 4012, 1021, 1444, 5782, 3]","[2, 1055, 6326, 7227, 6107, 6607, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 보다 전 곳 차내리다,공항버스정류소 못가서 내려주세요.,"[2, 1055, 2305, 2368, 4012, 1021, 4402, 5678, 6122, 5782, 3]","[2, 1055, 6326, 7227, 6107, 6607, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 보다 곳 전 도착 내리다,공항버스정류소 못가서 내려주세요.,"[2, 1055, 2305, 2368, 1021, 4012, 1723, 1444, 5782, 3]","[2, 1055, 6326, 7227, 6107, 6607, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 곳 전 보다 도착 차내리다,공항버스승차장 못가서 내려주세요.,"[2, 1055, 2305, 1021, 4012, 2368, 1723, 4402, 5678, 6122, 5782, 3]","[2, 1055, 6326, 6703, 7389, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 전 곳 보다 도착 내리다,공항버스승차장 못가서 내려주세요.,"[2, 1055, 2305, 4012, 1021, 2368, 1723, 1444, 5782, 3]","[2, 1055, 6326, 6703, 7389, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 전 곳 보다 도착 차내리다,공항버스승차장 못가서 내려주세요.,"[2, 1055, 2305, 4012, 1021, 2368, 1723, 4402, 5678, 6122, 5782, 3]","[2, 1055, 6326, 6703, 7389, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 곳 전 보다 저기,공항버스승차장 못가서 내려주세요.,"[2, 1055, 2305, 1021, 4012, 2368, 3990, 5561, 3]","[2, 1055, 6326, 6703, 7389, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 전 곳 보다 저기,공항버스승차장 못가서 내려주세요.,"[2, 1055, 2305, 4012, 1021, 2368, 3990, 5561, 3]","[2, 1055, 6326, 6703, 7389, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 보다 곳 전 내리다,공항버스승차장 못가서 내려주세요.,"[2, 1055, 2305, 2368, 1021, 4012, 1444, 5782, 3]","[2, 1055, 6326, 6703, 7389, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 보다 곳 전 차내리다,공항버스승차장 못가서 내려주세요.,"[2, 1055, 2305, 2368, 1021, 4012, 4402, 5678, 6122, 5782, 3]","[2, 1055, 6326, 6703, 7389, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 보다 전 곳 내리다,공항버스승차장 못가서 내려주세요.,"[2, 1055, 2305, 2368, 4012, 1021, 1444, 5782, 3]","[2, 1055, 6326, 6703, 7389, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 보다 전 곳 차내리다,공항버스승차장 못가서 내려주세요.,"[2, 1055, 2305, 2368, 4012, 1021, 4402, 5678, 6122, 5782, 3]","[2, 1055, 6326, 6703, 7389, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 보다 곳 전 도착 내리다,공항버스승차장 못가서 내려주세요.,"[2, 1055, 2305, 2368, 1021, 4012, 1723, 1444, 5782, 3]","[2, 1055, 6326, 6703, 7389, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 곳 전 보다 도착 차내리다,공항버스정거장 못가서 내려주세요.,"[2, 1055, 2305, 1021, 4012, 2368, 1723, 4402, 5678, 6122, 5782, 3]","[2, 1055, 6326, 7227, 5377, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 전 곳 보다 도착 내리다,공항버스정거장 못가서 내려주세요.,"[2, 1055, 2305, 4012, 1021, 2368, 1723, 1444, 5782, 3]","[2, 1055, 6326, 7227, 5377, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 전 곳 보다 도착 차내리다,공항버스정거장 못가서 내려주세요.,"[2, 1055, 2305, 4012, 1021, 2368, 1723, 4402, 5678, 6122, 5782, 3]","[2, 1055, 6326, 7227, 5377, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 곳 전 보다 저기,공항버스정거장 못가서 내려주세요.,"[2, 1055, 2305, 1021, 4012, 2368, 3990, 5561, 3]","[2, 1055, 6326, 7227, 5377, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 전 곳 보다 저기,공항버스정거장 못가서 내려주세요.,"[2, 1055, 2305, 4012, 1021, 2368, 3990, 5561, 3]","[2, 1055, 6326, 7227, 5377, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 보다 곳 전 내리다,공항버스정거장 못가서 내려주세요.,"[2, 1055, 2305, 2368, 1021, 4012, 1444, 5782, 3]","[2, 1055, 6326, 7227, 5377, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 보다 곳 전 차내리다,공항버스정거장 못가서 내려주세요.,"[2, 1055, 2305, 2368, 1021, 4012, 4402, 5678, 6122, 5782, 3]","[2, 1055, 6326, 7227, 5377, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 보다 전 곳 내리다,공항버스정거장 못가서 내려주세요.,"[2, 1055, 2305, 2368, 4012, 1021, 1444, 5782, 3]","[2, 1055, 6326, 7227, 5377, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 보다 전 곳 차내리다,공항버스정거장 못가서 내려주세요.,"[2, 1055, 2305, 2368, 4012, 1021, 4402, 5678, 6122, 5782, 3]","[2, 1055, 6326, 7227, 5377, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
공항 버스 보다 곳 전 도착 내리다,공항버스정거장 못가서 내려주세요.,"[2, 1055, 2305, 2368, 1021, 4012, 1723, 1444, 5782, 3]","[2, 1055, 6326, 7227, 5377, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
교통 법 지키다,교통법칙을 지키다,"[2, 1112, 2322, 4344, 5782, 3]","[2, 1112, 6335, 7488, 7088, 4344, 5782, 3]"
교통 법 지키다,교통법을 지키다,"[2, 1112, 2322, 4344, 5782, 3]","[2, 1112, 6337, 4344, 5782, 3]"
군인 나라 지키다 위하다 목숨 맡기다,군인들은 생명을 다해 조국을 지켰다,"[2, 1165, 7119, 1376, 4344, 5782, 3552, 7798, 2075, 1980, 5561, 5782, 3]","[2, 1165, 7119, 5937, 2712, 7088, 1562, 7848, 4162, 5503, 7088, 4297, 7532, 5782, 3]"
궁금 있다 묻다 부탁,궁금하신 사항을 수어로 물어봐 주세요.,"[2, 1169, 3862, 2134, 5782, 2458, 3]","[2, 1169, 7782, 6733, 2632, 7088, 2872, 6855, 6079, 2143, 6393, 517, 7282, 54, 3]"
궁금 있다 묻다 부탁,궁금하신 내역을 수어로 물어봐 주세요.,"[2, 1169, 3862, 2134, 5782, 2458, 3]","[2, 1169, 7782, 6733, 1434, 6926, 7088, 2872, 6855, 6079, 2143, 6393, 517, 7282, 54, 3]"
남자 만나다 싫다,그 사나이를 만나기 싫어,"[2, 1423, 1933, 5782, 517, 6744, 5782, 3]","[2, 1185, 2581, 6116, 1933, 5561, 3059, 3]"
남자 만나다 싫다,그 남성를 만나기 싫어,"[2, 1423, 1933, 5782, 517, 6744, 5782, 3]","[2, 1185, 1419, 6116, 1933, 5561, 3059, 3]"
지금 까지 놀다 오늘 일 시작,그 새 놀았으니 다시 일을 시작해야겠다,"[2, 4299, 517, 5592, 1504, 5782, 3419, 3803, 2986, 3]","[2, 1185, 2695, 1504, 6827, 7076, 1574, 3817, 2986, 7852, 5406, 3]"
지금 까지 놀다 오늘 일 시작,그 사이 놀았으니 다시 일을 시작해야겠다,"[2, 4299, 517, 5592, 1504, 5782, 3419, 3803, 2986, 3]","[2, 1185, 2618, 1504, 6827, 7076, 1574, 3817, 2986, 7852, 5406, 3]"
지금 까지 놀다 오늘 일 시작,그 동안 놀았으니 다시 작업을 시작해야겠다,"[2, 4299, 517, 5592, 1504, 5782, 3419, 3803, 2986, 3]","[2, 1185, 1754, 1504, 6827, 7076, 1574, 3937, 2986, 7852, 5406, 3]"
지금 까지 놀다 오늘 일 시작,그 동안 놀았으니 다시 노동을 시작해야겠다,"[2, 4299, 517, 5592, 1504, 5782, 3419, 3803, 2986, 3]","[2, 1185, 1754, 1504, 6827, 7076, 1574, 1477, 7088, 2986, 7852, 5406, 3]"
지금 까지 놀다 오늘 일 시작,그 동안 놀았으니 다시 근무를 시작해야겠다,"[2, 4299, 517, 5592, 1504, 5782, 3419, 3803, 2986, 3]","[2, 1185, 1754, 1504, 6827, 7076, 1574, 1225, 6116, 2986, 7852, 5406, 3]"
지금 까지 놀다 오늘 일 시작,그 동안 놀았으니 다시 근로을 시작해야겠다,"[2, 4299, 517, 5592, 1504, 5782, 3419, 3803, 2986, 3]","[2, 1185, 1754, 1504, 6827, 7076, 1574, 1223, 7088, 2986, 7852, 5406, 3]"
지금 까지 놀다 오늘 일 시작,그 동안 놀았으니 다시 일을 착수해야겠다,"[2, 4299, 517, 5592, 1504, 5782, 3419, 3803, 2986, 3]","[2, 1185, 1754, 1504, 6827, 7076, 1574, 3817, 4423, 7852, 5406, 3]"
지금 까지 놀다 오늘 일 시작,그 동안 놀았으니 다시 일을 개시해야겠다,"[2, 4299, 517, 5592, 1504, 5782, 3419, 3803, 2986, 3]","[2, 1185, 1754, 1504, 6827, 7076, 1574, 3817, 835, 6705, 7852, 5406, 3]"
지금 까지 놀다 오늘 일 시작,그 동안 놀았으니 다시 일을 거행해야겠다,"[2, 4299, 517, 5592, 1504, 5782, 3419, 3803, 2986, 3]","[2, 1185, 1754, 1504, 6827, 7076, 1574, 3817, 862, 7881, 7852, 5406, 3]"
지금 끝 수고 많다,그 사이 수고가 많으셨습니다,"[2, 4299, 1363, 2872, 5439, 1951, 3]","[2, 1185, 2618, 2872, 5439, 5330, 517, 6158, 7074, 6604, 6701, 3]"
지금 끝 수고 많다,그 동안 노고가 많으셨습니다,"[2, 4299, 1363, 2872, 5439, 1951, 3]","[2, 1185, 1754, 1476, 5439, 5330, 517, 6158, 7074, 6604, 6701, 3]"
돈 많다 하루 갚다 가능 불가능,그 많은 금전을 하루만에 갚는건 불가능해,"[2, 1730, 1951, 4937, 517, 5356, 5782, 737, 2486, 3]","[2, 1185, 1955, 1235, 7213, 4937, 6150, 6896, 517, 5356, 5760, 5384, 2486, 7848, 3]"
학생 공부 하다 아니다 놀다 뿐,그 어린애는 공부를 하지 않고 놀기만 한다,"[2, 4952, 1042, 4932, 3100, 1504, 5782, 2571, 3]","[2, 1185, 3233, 6834, 5760, 1042, 6116, 4945, 3149, 1504, 5561, 6150, 4965, 3]"
학생 공부 하다 아니다 놀다 뿐,그 어린아이는 공부를 하지 않고 놀기만 한다,"[2, 4952, 1042, 4932, 3100, 1504, 5782, 2571, 3]","[2, 1185, 3233, 6804, 5760, 1042, 6116, 4945, 3149, 1504, 5561, 6150, 4965, 3]"
학생 공부 하다 아니다 놀다 뿐,그 아동은 공부를 하지 않고 놀기만 한다,"[2, 4952, 1042, 4932, 3100, 1504, 5782, 2571, 3]","[2, 1185, 3106, 7086, 1042, 6116, 4945, 3149, 1504, 5561, 6150, 4965, 3]"
학생 공부 하다 아니다 놀다 뿐,그 애는 공부를 하지 않고 놀기만 한다,"[2, 4952, 1042, 4932, 3100, 1504, 5782, 2571, 3]","[2, 1185, 3194, 5760, 1042, 6116, 4945, 3149, 1504, 5561, 6150, 4965, 3]"
학생 공부 하다 아니다 놀다 뿐,그 어린이는 공부를 하지 않고 놀기만 한다,"[2, 4952, 1042, 4932, 3100, 1504, 5782, 2571, 3]","[2, 1185, 3234, 5760, 1042, 6116, 4945, 3149, 1504, 5561, 6150, 4965, 3]"
여자 마음 좋다 돌보다 노력,그 여인는 마음이 좋으니깐 친절히 돌봐줄거야,"[2, 3318, 1917, 4206, 1732, 6371, 1481, 3]","[2, 1185, 3298, 7119, 5760, 1917, 7096, 4204, 7076, 5595, 4626, 7217, 7996, 1732, 6393, 7292, 5377, 6844, 3]"
여자 마음 좋다 돌보다 노력,그 여성는 마음이 좋으니깐 친절히 돌봐줄거야,"[2, 3318, 1917, 4206, 1732, 6371, 1481, 3]","[2, 1185, 3312, 5760, 1917, 7096, 4204, 7076, 5595, 4626, 7217, 7996, 1732, 6393, 7292, 5377, 6844, 3]"
여자 마음 좋다 돌보다 노력,그 여자는 심정이 좋으니깐 친절히 돌봐줄거야,"[2, 3318, 1917, 4206, 1732, 6371, 1481, 3]","[2, 1185, 3318, 5760, 3060, 7227, 7096, 4204, 7076, 5595, 4626, 7217, 7996, 1732, 6393, 7292, 5377, 6844, 3]"
저기 일 하다 싫다,그 작업은 하기 싫어,"[2, 3990, 5561, 3803, 4932, 517, 6744, 5782, 3]","[2, 1185, 3936, 7086, 4927, 3059, 3]"
