dataset,video_num,question_w_q_morph,question,gloss,spoken
NIA-2020,499.0,,False,뒤 들어올리다,트렁크 좀 열어주세요.
NIA-2020,669.0,,True,지름길 가다 내리다,지름길로 갈까요?
NIA-2020,1603.0,,False,편지 저기 곳 다음 내리다,우체국 지나서 내려주세요.
KETI-Daily,,,True,보다 무엇,뭐 보고 있어?
NIA-2020,523.0,,False,학교 가다,학교로 들어가주세요.
NIA-2020,689.0,,False,저기 샛길 가다,골목으로 들어가주세요.
KETI-Emergency,,,False,누가 건물 추락,어떤 사람이 건물에서 추락했어요.
NIA-2020,1448.0,,True,종로 찾다 가다 방법 무엇,종로로 가려면 어떻게 가나요?
NIA-2020,1428.0,,True,이화여대 길 목적 무엇 방법,이화여대쪽으로 가려면 어떻게 가나요?
NIA-2020,375.0,,True,도착 10분 전,10분 내로 도착하나요?
NIA-2020,419.0,,False,명동 차내리다,명동역으로 가주세요.
KETI-Airport,,,True,유실물,유실물 센터는 어디에 있습니까?
NIA-2020,223.0,,True,지하철 철로 물건 떨어지다,선로에 물건을 떨어뜨리셨나요?
NIA-2020,726.0,,False,나사렛 전 도착 차내리다,나사렛대학교 못가서 내려주세요.
NIA-2020,656.0,,True,공항 목적 가다,김포공항으로 갈까요?
KETI-Airport,,,True,환전,환전은 어디서 하나요?
NIA-2020,1041.0,,True,안내소 곳 무엇,안내소는 어디에 있나요?
NIA-2020,479.0,,False,카드 교환하다,다른 카드를 주세요.
NIA-2020,629.0,,False,지름길 가다 내리다,지름길로 가주세요.
KETI-Emergency,,,False,주변 건물 붕괴,근처에 있는 건물이 붕괴되고 있어요.
NIA-2020,224.0,,True,신호등 다음 차내리다,저기 신호등 건너서 세워드릴까요?
NIA-2020,144.0,,True,버스 곳 가깝다,근처에 버스 정류장이 있나요?
NIA-2020,334.0,,True,1호 첫차 시간,1호선 첫차는 몇 시인가요?
KETI-Emergency,,,False,아프다,너무 아파요.
NIA-2020,1685.0,,True,119 곳 다음 차내리다,소방서 지나서 내려드릴까요?
KETI-Airport,,,True,약  곳  어디,약국은 어디에 있습니까?
NIA-2020,394.0,,True,도착 알려받다,도착하면 알려주시나요?
NIA-2020,1401.0,,True,여의도 가다 방법,여의도로 가려면 어떻게 가나요?
NIA-2020,1568.0,,False,보건소 곳 다음 도착 차내리다,보건소 지나서 내려주세요.
NIA-2020,1199.0,,False,버스 곳 전 보다 차내리다,버스정류장 못가서 내려주세요.
NIA-2020,1573.0,,False,언덕 저기 곳 다음 내리다,언덕 지나서 내려주세요.
KETI-Daily,,,False,위하다,위하다
NIA-2020,1955.0,,False,시계 없다 잃어버리다,시계를 분실하였습니다.
NIA-2020,1460.0,,True,종로 곳 가다 원하다 길 무엇,종로로 가려면 어떻게 가나요?
NIA-2020,1755.0,,True,경찰 저기 곳 다음 차내리다,경찰서 지나서 내려드릴까요?
KETI-Airport,,,True,비자  책  잃어버리다  방법,여권을 잃어버렸습니다. 어떻게 하나요?
NIA-2020,131.0,,False,도착 아직,아직 도착 안 했습니다.
NIA-2020,71.0,,False,2호,2호선입니다.
KETI-Airport,,,True,항공,항공사 카운터는 어디에 있습니까?
NIA-2020,875.0,,True,서울농아인협회 내리다,서울농아인협회에서 내려드릴까요?
KETI-Daily,,,False,때리다 미안,때려서 미안해
NIA-2020,1962.0,,False,반지 잃어버리다,반지를 분실하였습니다.
NIA-2020,494.0,,False,카드 단말기터치 다시 해보다,카드를 다시 대세요.
KETI-Emergency,,,False,누가 집단폭력,어떤 사람이 집단폭력을 당하고 있어요.
NIA-2020,200.0,,True,택시 문자받다,콜을 부르셨나요?
NIA-2020,1821.0,,True,카드 찾다 실종,카드를 분실하셨나요?
NIA-2020,386.0,,False,길 곳곳 도움받다,길 찾는 것 좀 도와주세요.
KETI-Airport,,,True,항공  지하철  곳,공항철도는 어디서 탈 수 있습니까?
NIA-2020,752.0,,False,버스 곳 내리다 맞다,버스정류장에서 내려주세요.
NIA-2020,1124.0,,True,물품보관 고장 죽다,물품보관함이 안되나요?
NIA-2020,1561.0,,False,보건소 곳 다음 내리다,보건소 지나서 내려주세요.
NIA-2020,1697.0,,True,사거리 다음 도착 내리다,사거리 지나서 내려드릴까요?
KETI-Airport,,,True,한국  먹다  곳  어디,한정식집이 어디에 있습니까?
NIA-2020,143.0,,False,버스 곳 가깝다,근처에 버스 정류장이 있습니다.
NIA-2020,1470.0,,False,터널 다음 여기,터널 지나서 내려주세요.
NIA-2020,1918.0,X,True,차밀리다,차가 막히나요?
NIA-2020,490.0,,False,단말기터치 다시,카드를 다시 대세요.
KETI-Emergency,,,False,개 뼈 뼈다귀 삼키다,강아지가 뼈를 삼켰어요.
NIA-2020,1193.0,,False,버스 전 곳 저기 도착 내리다,버스정류장 못가서 내려주세요.
NIA-2020,364.0,,False,내리다 갈아타다 가능,여기서 갈아탈 수 있습니다.
NIA-2020,578.0,,False,나사렛 목적,나사렛대학교로 가주세요.
NIA-2020,1256.0,,False,맥도날드 보다 곳 다음 도착 내리다,맥도날드 지나서 내려주세요.
NIA-2020,1829.0,,True,우회전 확인 맞다,우회전 맞으시죠?
NIA-2020,128.0,,True,시간 지연되다,지연되었나요?
NIA-2020,390.0,,False,5호 갈아타다 안내하다 도움받다,5호선으로 환승하는 것 좀 도와주세요.
KETI-Airport,,,True,수레  빌리다  곳,휠체어 대여소가 어디에 있습니까?
NIA-2020,745.0,,False,기차 곳 내리다 맞다,기차역에서 내려주세요.
NIA-2020,1870.0,,False,가방 없다 잃어버리다,가방을 잃어버렸습니다.
NIA-2020,1593.0,,False,경찰 저기 곳 다음 내리다,경찰서 지나서 내려주세요.
KETI-Daily,,,False,반 안 일등 하다,반에서 일등을 하다
NIA-2020,1563.0,,False,보건소 곳 다음 차내리다,보건소 지나서 내려주세요.
NIA-2020,786.0,,True,여기 차내리다 맞다,여기서 내려드릴까요?
NIA-2020,1702.0,,True,대로 다음 내리다,큰 길 지나서 내려드릴까요?
KETI-Airport,,,True,세금  공짜  인터넷  신고  받아오다  어디,면세품 인도장은 어디에 있습니까?
KETI-Emergency,,,False,발 발목 발바닥,발목을 접질렀어요.
KETI-Daily,,,False,자유 살다,자유를 누리다
KETI-Airport,,,True,표  직접  누르다  곳  어디,셀프체크인은 어디서 가능한가요?
NIA-2020,15.0,,False,급하다,제가 좀 급합니다.
NIA-2020,1519.0,,False,버스 곳 저기 다음 도착 차내리다,버스정류장 지나서 내려주세요.
NIA-2020,1149.0,,True,카드 불량 안되다,카드 인식이 안되나요?
KETI-Daily,,,False,너무 춥다,너무 추워
NIA-2020,1676.0,,True,버스 곳 저기 다음 곳,버스정류장 지나서 내려드릴까요?
NIA-2020,756.0,,False,버스 곳 내리다 맞다,버스정류장에서 내려주세요.
NIA-2020,1814.0,,True,지갑 사라지다 실종,지갑을 분실하셨나요?
NIA-2020,1869.0,,False,가방 잃어버리다,가방을 잃어버렸습니다.
KETI-Airport,,,True,비행기  지각  방법,비행기시간을 놓쳤습니다. 어떻게 해야 하나요?
NIA-2020,142.0,,True,택시 곳 가깝다,근처에 택시 승강장이 있나요?
NIA-2020,1594.0,,False,경찰 저기 곳 다음 차내리다,경찰서 지나서 내려주세요.
NIA-2020,970.0,,True,춥다 끄다,에어컨을 꺼드릴까요?
NIA-2020,1371.0,,True,송파 지하철 길 무엇 방법,송파역으로 가려면 어떻게 가나요?
NIA-2020,7.0,,False,저기,저것입니다.
KETI-Daily,,,False,언니 아기 낳다 4,언니가 아이 넷을 낳았다
NIA-2020,477.0,,False,안전벨트 꼿다,안전벨트를 매주세요.
KETI-Emergency,,,False,누가 칼 협박 가지다,어떤 사람이 칼로 위협하고 있어요.
NIA-2020,1964.0,,False,반지 실종,반지를 분실하였습니다.
NIA-2020,742.0,,False,기차 곳 내리다 맞다,기차역에서 내려주세요.
KETI-Daily,,,False,마음 아프다,마음이 아프다
NIA-2020,648.0,,True,손바닥찍다 가다 내리다,이 주소로 갈까요?
NIA-2020,49.0,,False,장애인복지카드,장애인 복지 카드입니다.
KETI-Daily,,,False,오늘 사랑 받다 중에 행복,지금 사랑을 받고 있어서 행복하다
KETI-Airport,,,True,세금  되돌리다  돈받다  곳  어디,세금환급tax refund 을 어디서 받나요?
KETI-Daily,,,False,친구 심심하다 시간 나 부르다,친구는 심심하면 나를 부른다
NIA-2020,1347.0,,True,서울대학교 가다 목적 가다 방법,서울대학교 방향으로 가려면 어떻게 가나요?
KETI-Airport,,,True,노트북  비행기  안  가지다  가능,노트북을 기내에 가져갈 수 있나요?
KETI-Airport,,,True,비행기  시간  바꾸다2  세금  돈  몇,항공사 예약 변경 수수료를 확인하고 싶은데 어떻게 하나요?
NIA-2020,278.0,,False,지하철 안 없다,지하철 안에 없습니다.
NIA-2020,1968.0,,False,반지 잃어버리다 실종,반지를 분실하였습니다.
NIA-2020,594.0,,False,손바닥찍다 내리다,이 주소로 가주세요.
NIA-2020,1857.0,,False,우산 실종,우산을 분실하였습니다.
NIA-2020,779.0,,False,시청 차내리다 오케이,시청으로 가주세요.
KETI-Airport,,,False,정보  묻다  곳  가다  부탁,가까운 안내 데스크를 이용해 주시기 바랍니다.
NIA-2020,215.0,,False,학교 보다 차내리다,학교 좀 들렀다가주세요.
KETI-Airport,,,True,먹다  곳,식당은 어디에 있습니까?
KETI-Daily,,,False,누나 동생 심부름 시키다 시장 보내다,누나가 동생을 시장에 심부름을 보냈다
KETI-Airport,,,True,먹다  곳  어디,식당은 어디에 있습니까?
NIA-2020,1204.0,,False,버스 전 곳 보다 차내리다,버스정류장 못가서 내려주세요.
NIA-2020,528.0,,False,영수증,영수증을 주세요.
KETI-Airport,,,True,항공  지하철  어디  곳,공항철도는 어디서 탈 수 있습니까?
KETI-Daily,,,False,공부 싫다,공부하기 싫다
NIA-2020,1023.0,,True,편의점 뼈곳,편의점은 어디에 있나요?
KETI-Airport,,,True,항공  짐  맡기다  어디,수하물보관소가 어디에 있습니까?
NIA-2020,1397.0,,True,여의도 무엇 방법,여의도로 가려면 어떻게 가나요?
KETI-Emergency,,,False,여기 곳 서대문구 홍제동 한양 아파트 집 위 곳 사람 추락 목적 서다,여기 서대문구 홍제동 한양아파트인데 옥상에서 사람이 떨어지려고해요.
NIA-2020,803.0,,True,기차 곳 내리다 맞다,기차역에서 내려드릴까요?
NIA-2020,1950.0,,True,영수증 원하다,영수증 필요하세요?
KETI-Daily,,,False,손 크다 대단하다,손이 정말 크다
KETI-Daily,,,False,사람 관계 중요,인간관계는 중요하다
NIA-2020,1322.0,,False,파리바게트 다음 저기 곳 차내리다,파리바게트 지나서 내려주세요.
NIA-2020,1402.0,,True,여의도 길 가다 방법,여의도로 가려면 어떻게 가나요?
NIA-2020,47.0,,False,택시 돈 되다,현금도 됩니다.
NIA-2020,255.0,,False,50분 정도,50분 정도 소요됩니다.
NIA-2020,617.0,,False,고속터미널 곳 가다,고속버스터미널로 가주세요.
NIA-2020,1000.0,,True,약 무엇,약국은 어디에 있나요?
NIA-2020,1104.0,,False,에어컨 사용 잘 안되다,에어컨이 안되네요.
KETI-Airport,,,True,항공  표  곳  어디,항공사 카운터는 어디에 있습니까?
NIA-2020,1239.0,,False,택시 전 저기 곳 내리다,택시정류장 못가서 내려주세요.
NIA-2020,430.0,,False,여기 내리다 맞다,여기서 내려주세요.
NIA-2020,903.0,,True,에어컨 켜다,에어컨 좀 켜드릴까요?
NIA-2020,1409.0,,True,영등포 곳 길 무엇 방법,영등포로 가려면 어떻게 가나요?
KETI-Daily,,,False,미래 부탁 하지마,앞으로 부탁하지마
KETI-Daily,,,False,궁금하다,궁금하다
NIA-2020,130.0,,True,지연되다 5분,5분 지연되었나요?
KETI-Airport,,,True,한국  안  다르다  나라  이륙  어디  곳,국제선 출국장이 어디에 있습니까?
NIA-2020,932.0,,False,한국농아인협회 가다,한국농아인협회로 가주세요.
NIA-2020,963.0,,False,천안아산역 가다,천안아산역으로 가주세요.
NIA-2020,1247.0,,False,맥도날드 보다 곳 다음 내리다,맥도날드 지나서 내려주세요.
NIA-2020,1970.0,,False,노트북 잃어버리다,노트북을 잃어버렸습니다.
NIA-2020,1153.0,,True,카드 고장 잘 안되다,카드 인식이 안되나요?
KETI-Daily,,,False,언니 성격 불 같다 화 많다,언니는 성격이 불같다
NIA-2020,505.0,,False,내리다,창문 좀 열겠습니다.
NIA-2020,1301.0,,False,이마트 다음 곳 내리다,이마트 지나서 내려주세요.
NIA-2020,901.0,,False,에어컨,에어컨 좀 켜주세요.
NIA-2020,302.0,,False,아이 혼자 방황,아이가 혼자 방황하고 있습니다.
NIA-2020,19.0,,False,나,접니다
KETI-Airport,,,True,항공  짐  맡기다  어디  곳,수하물보관소가 어디에 있습니까?
NIA-2020,961.0,,False,청음회관 곳,청음회관으로 가주세요.
NIA-2020,1720.0,,True,육교 곳 다음 여기,육교 지나서 내려드릴까요?
KETI-Daily,,,False,계획 끝 일 오늘 시작,계획했던 일을 실천했다
NIA-2020,1682.0,,True,119 곳 다음 내리다,소방서 지나서 내려드릴까요?
KETI-Emergency,,,False,아기 장난감 먹다 삼키다,아기가 장난감을 삼켰어요.
NIA-2020,1717.0,,True,육교 곳 다음 도착 내리다,육교 지나서 내려드릴까요?
NIA-2020,1725.0,,True,보건소 곳 다음,보건소 지나서 내려드릴까요?
KETI-Airport,,,True,돈  바꾸다1  어디  곳,환전은 어디서 하나요?
KETI-Daily,,,False,물 깨끗하다,물이 정말 맑다
NIA-2020,116.0,,True,1호 곳 무엇,1호선을 타는 곳은 어디인가요?
NIA-2020,1048.0,,True,계단 곳,계단은 어디에 있나요?
NIA-2020,1422.0,,True,이화여대 찾다 목적 방법,이화여대쪽으로 가려면 어떻게 가나요?
NIA-2020,736.0,,False,저기 내리다 맞다,저기서 내려주세요.
KETI-Airport,,,True,호텔  항공  가깝다  곳,공항 주변에 호텔은 어디있나요?
NIA-2020,16.0,X,True,급하다,급하세요?
KETI-Emergency,,,False,무릎 인대 상처,무릎 인대를 다친 것 같아요.
NIA-2020,1252.0,,False,맥도날드 보다 다음 곳 내리다,맥도날드 지나서 내려주세요.
NIA-2020,1596.0,,False,경찰 저기 곳 다음,경찰서 지나서 내려주세요.
NIA-2020,270.0,,False,학교 주차,학교에 주차하겠습니다.
KETI-Airport,,,True,빵  집  곳,빵집이 어디에 있습니까
KETI-Airport,,,True,카페  어디  곳,커피숍은 어디에 있습니까?
NIA-2020,1537.0,,False,사거리 다음 도착 내리다,사거리 지나서 내려주세요.
NIA-2020,1490.0,,False,군청 곳 다음 여기,동사무소 지나서 내려주세요.
NIA-2020,1883.0,,False,아이 잃어버리다 실종,아이를 잃어버렸습니다.
KETI-Airport,,,True,항공  배달  어디  곳,공항 내 택배를 보낼 수 있는 곳이 어디입니까?
KETI-Daily,,,False,찾다 무엇,뭘찾아
KETI-Daily,,,False,느리다 생각,왜 늦었어
NIA-2020,957.0,,False,청음회관 차내리다,청음회관으로 가주세요.
NIA-2020,1997.0,,False,보청기 없다 실종,보청기를 잃어버렸습니다.
KETI-Daily,,,False,나 가능 일 무엇,내가 할 수 있는 일이 뭐가 있을까
NIA-2020,1914.0,,False,유턴 맞다,유턴 맞습니다.
NIA-2020,628.0,,False,지름길 가다 내리다,지름길로 가주세요.
KETI-Daily,,,False,여자 마음 좋다 돌보다 노력,그 여자는 마음이 좋으니깐 친절히 돌봐줄거야
NIA-2020,1872.0,,False,가방 없다 실종,가방을 잃어버렸습니다.
KETI-Emergency,,,False,폭발,폭탄이 터졌어요.
NIA-2020,1847.0,,True,좌회전 확인 맞다,좌회전 맞으시죠?
NIA-2020,983.0,X,True,청음회관,청음회관에서 내려드릴까요?
NIA-2020,487.0,,False,다르다 카드,다른 카드를 주세요.
NIA-2020,507.0,,False,유리 올리다,창문 좀 닫겠습니다.
NIA-2020,289.0,,False,배 위쪼이다 아프다,배가 꼬이듯 아픕니다.
KETI-Daily,,,False,개 데려가다 걷다,개를 데리고 산책하다
KETI-Daily,,,False,반지 하다 원하다 돈 얼마,반지를 하고 싶은데 가격이 얼마나 되나요
NIA-2020,1873.0,,False,가방 찾다 실종,가방을 잃어버렸습니다.
NIA-2020,1259.0,,False,맥도날드 보다 곳 저기 다음 차내리다,맥도날드 지나서 내려주세요.
KETI-Airport,,,True,여행  보험  가입  곳  어디,여행자보험을 가입하고 싶은데 어디서 하면 되나요?
NIA-2020,1284.0,,False,백화점 다음 곳 보다 차내리다,백화점 지나서 내려주세요.
KETI-Daily,,,False,저기 너 가지다,이거 너 가져
NIA-2020,1466.0,,False,터널 다음 도착 내리다,터널 지나서 내려주세요.
KETI-Daily,,,False,집 일 청소 돕다,집안일을 도와주다
KETI-Emergency,,,False,집 도둑 넘어오다,집에 도둑이 들어왔어요.
NIA-2020,174.0,,True,여기 기다리다,여기서 기다릴까요?
KETI-Daily,,,False,무엇 일 나다 맞다,무슨 일이 생긴건 아니야
NIA-2020,1323.0,,False,파리바게트 다음 저기 곳 도착 내리다,파리바게트 지나서 내려주세요.
NIA-2020,1276.0,,False,백화점 다음 곳 저기 도착 차내리다,백화점 지나서 내려주세요.
NIA-2020,1099.0,,False,에어컨 불량 안되다,에어컨이 안되네요.
NIA-2020,317.0,,False,천호 지하철 8호 갈아타다,천호역에서 8호선으로 갈아타려고 합니다.
KETI-Daily,,,False,수업 시작,수업 시작했어
NIA-2020,1674.0,,True,버스 곳 다음 차내리다,버스정류장 지나서 내려드릴까요?
NIA-2020,299.0,,True,잠깐 기다리다 괜찮다,잠깐 기다려주실 수 있나요?
KETI-Airport,,,True,편지  어디  곳,우체국은 어디에 있습니까? 
KETI-Airport,,,True,와이파이1  빌리다  어디  곳,와이파이를 어디에서 빌릴 수 있습니까?
KETI-Airport,,,True,다르다  나라  인터넷  신청  어디,로밍센터는 어디에 있습니까?
NIA-2020,1881.0,,False,아이 찾다 실종,아이를 잃어버렸습니다.
NIA-2020,1959.0,,False,시계 사라지다 실종,시계를 분실하였습니다.
NIA-2020,1965.0,,False,반지 없다 실종,반지를 분실하였습니다.
NIA-2020,137.0,,False,자전거 있다,자전거가 있습니다.
NIA-2020,924.0,,False,한국농아인협회 가다,한국농아인협회로 가주세요.
NIA-2020,1570.0,,False,보건소 곳 다음 여기,보건소 지나서 내려주세요.
KETI-Daily,,,False,똑바로 말하다 해보다,말 돌이지 말고 똑바로 말해봐
NIA-2020,834.0,,True,시청 내리다,시청에서 내려드릴까요?
NIA-2020,1366.0,,True,송파 지하철 목적 방법 무엇,송파역으로 가려면 어떻게 가나요?
NIA-2020,1456.0,,True,종로 곳 가다 길 방법,종로로 가려면 어떻게 가나요?
NIA-2020,691.0,,False,아파트 가다,아파트 단지 안으로 가주세요.
NIA-2020,170.0,X,True,신분증,주민등록증 있으세요?
KETI-Daily,,,False,하다,하다
NIA-2020,1047.0,,True,계단 무엇,계단은 어디에 있나요?
KETI-Airport,,,True,차  빌리다  방법,렌트카를 이용하려면 어떻게 해야 하나요?
NIA-2020,141.0,,False,택시 곳 가깝다,근처에 택시 승강장이 있습니다.
NIA-2020,2000.0,,False,수고,수고하셨습니다.
NIA-2020,145.0,,False,없다,없습니다.
NIA-2020,1900.0,,False,핸드폰 실종 잃어버리다,휴대폰을 잃어버렸습니다.
NIA-2020,952.0,,False,서대문농아인복지관 가다,서대문농아인복지관으로 가주세요.
NIA-2020,926.0,,False,한국농아인협회 내리다,한국농아인협회로 가주세요.
KETI-Airport,,,True,아기  쉬다  곳  어디,유아 휴게실은 어디에 있습니까?
KETI-Airport,,,True,햄버거  어디  곳,패스트푸드는 어디에 있습니까?
NIA-2020,634.0,,True,명동 내리다,명동역으로 갈까요?
NIA-2020,608.0,,False,서울역 가다 내리다,서울역으로 가주세요.
KETI-Daily,,,False,일 어렵다,일이 어려워요
NIA-2020,1704.0,,True,대로 다음 차내리다,큰 길 지나서 내려드릴까요?
NIA-2020,1507.0,,False,샛길 저기 다음 도착 내리다,골목 지나서 내려주세요.
NIA-2020,411.0,,True,경찰 전화걸다,경찰을 부를까요?
KETI-Emergency,,,False,친구 전기 몸 자극 ,친구가 감전 사고를 당했어요.
KETI-Daily,,,False,나 삶 불행,내 삶은 불행하다
KETI-Airport,,,True,세금  공짜  어디  곳,면세점은 어디에 있습니까?
NIA-2020,1297.0,,False,이마트 곳 저기 다음 도착 차내리다,이마트 지나서 내려주세요.
NIA-2020,1024.0,,True,의자 무엇,의자는 어디에 있나요?
NIA-2020,39.0,,False,택시 기본 만원,기본 요금은 만원입니다.
NIA-2020,675.0,,True,나사렛 도착 가다,나사렛대학교로 갈까요?
KETI-Daily,,,False,아빠 딸 미국 보내다 위하여 일 열심히,아버지는 딸을 미국으로 유학 보내기 위해 열심히 일했다
NIA-2020,1052.0,,True,계단 뼈곳,계단은 어디에 있나요?
KETI-Emergency,,,False,엘리베이터 갑자기 멈추다,엘리베이터가 갑자기 중간에 멈췄어요.
NIA-2020,129.0,,False,시간 지연되다 5분,5분 지연되었습니다.
NIA-2020,1716.0,,True,육교 곳 다음 도착 내리다,육교 지나서 내려드릴까요?
KETI-Airport,,,True,아기  유모차  빌리다  곳,유모차 대여소가 어디에 있습니까?
NIA-2020,48.0,,True,택시 돈 되다,현금도 되나요?
NIA-2020,1034.0,O,True,돈얼마,얼마인가요?
NIA-2020,991.0,,True,청음회관 내리다 오케이,청음회관에서 내려드릴까요?
NIA-2020,1441.0,,True,종로 곳 가다 무엇,종로로 가려면 어떻게 가나요?
KETI-Daily,,,False,나 오랜만 오빠 만나다 기쁘다,나는 오랜만에 오빠를 만나서 기뻤다
NIA-2020,1332.0,,True,3 찾다 곳 방법,3번 출구로 나가려면 어떻게 가나요?
KETI-Airport,,,True,한국  먹다  어디  곳,한정식집이 어디에 있습니까?
KETI-Daily,,,False,좋다,좋다
NIA-2020,892.0,,True,서대문농아인복지관 차내리다 오케이,서대문농아인복지관에서 내려드릴까요?
NIA-2020,588.0,,False,응급실 목적,응급실로 가주세요.
NIA-2020,1846.0,,True,좌회전 확인 맞다,좌회전 맞으시죠?
KETI-Airport,,,True,카페  곳  어디,커피숍은 어디에 있습니까?
NIA-2020,979.0,,True,난방 끄다,히터를 꺼드릴까요?
KETI-Airport,,,True,여행  정보  묻다  곳  어디,관광안내소는 어디에 있습니까?
KETI-Daily,,,False,저기 방 부모님 계시다,지금 방에 부모님이 계셔
NIA-2020,1499.0,,False,병원 저기 다음 도착 차내리다,병원 지나서 내려주세요.
NIA-2020,679.0,,True,나사렛 가다 내리다,나사렛대학교로 갈까요?
KETI-Airport,,,True,지하철  어디,지하철 승강장은 어디에 있습니까?
NIA-2020,1263.0,,False,맥도날드 보다 다음 저기 곳 차내리다,맥도날드 지나서 내려주세요.
NIA-2020,1168.0,,False,공항 버스 곳 전 보다 도착 차내리다,공항버스정류장 못가서 내려주세요.
NIA-2020,250.0,,True,막차 시간,막차는 몇 시인가요?
NIA-2020,810.0,,True,기차 곳 차내리다 맞다,기차역에서 내려드릴까요?
NIA-2020,568.0,,True,카드 되다,카드 결제 되나요?
NIA-2020,1352.0,,True,서울대학교 찾다 목적 길 가다 방법,서울대학교 방향으로 가려면 어떻게 가나요?
KETI-Airport,,,True,택시  어디  곳,택시 승강장은 어디에 있습니까?
NIA-2020,949.0,,False,서대문농아인복지관 도착,서대문농아인복지관으로 가주세요.
KETI-Daily,,,False,돈 많다 하루 갚다 가능 불가능,그 많은 돈을 하루만에 갚는건 불가능해
NIA-2020,1923.0,,False,차밀리다,차가 막힙니다.
NIA-2020,173.0,,False,잠깐 기다리다,잠시만 기다려주세요.
KETI-Airport,,,True,아기  유모차  빌리다  어디  곳,유모차 대여소가 어디에 있습니까?
NIA-2020,671.0,,True,나사렛 내리다 가다,나사렛대학교로 갈까요?
NIA-2020,1217.0,,False,스타벅스 곳 저기 전 도착 차내리다,스타벅스 못가서 내려주세요.
NIA-2020,154.0,,True,뒤 트렁크닫다,트렁크 좀 닫아드릴까요?
KETI-Airport,,,True,비행기  취소  가능,비행기를 취소 할 수 있을까요?
