,gloss,spoken,combined
71,아프다 참다 불가능,아파서 못 참을것 같아요.,아프다 참다 불가능아파서 못 참을것 같아요.
72,빨리 돕다 부탁,빨리 도와주세요.,빨리 돕다 부탁빨리 도와주세요.
73,아기 방 갇히다,아이가 방에 갇혔어요.,아기 방 갇히다아이가 방에 갇혔어요.
74,저 방 갇히다,내가 방에 갇혔어요.,저 방 갇히다내가 방에 갇혔어요.
75,집 흔들리다,집이 흔들려요.,집 흔들리다집이 흔들려요.
76,집 벽 넘어지다,집 벽이 무너질려고 해요.,집 벽 넘어지다집 벽이 무너질려고 해요.
79,사람 물건 무겁다 깔리다,사람이 무거운 물건에 깔렸어요.,사람 물건 무겁다 깔리다사람이 무거운 물건에 깔렸어요.
81,나이 병원 예약 부탁,세브란스 병원 진료 예약을 해주세요.,나이 병원 예약 부탁세브란스 병원 진료 예약을 해주세요.
82,아기 갑자기 머리 우산,우리아이가 갑자기 의식을 잃었어요.,아기 갑자기 머리 우산우리아이가 갑자기 의식을 잃었어요.
86,낯선 밖다 걷다,밖에 모르는 사람이 서성거려요.,낯선 밖다 걷다밖에 모르는 사람이 서성거려요.
87,112 신고 부탁,112에 신고해주세요.,112 신고 부탁112에 신고해주세요.
89,아내 쓰러지다,아내가 쓰러졌어요.,아내 쓰러지다아내가 쓰러졌어요.
91,발 발목 발바닥,발목을 접질렀어요.,발 발목 발바닥발목을 접질렀어요.
92,집 전기 그치다,집에 전기가 나갔어요.,집 전기 그치다집에 전기가 나갔어요.
93,먹다 음식 베다,음식을 하다가 손가락을 칼에 베였어요.,먹다 음식 베다음식을 하다가 손가락을 칼에 베였어요.
97,무릎 인대 상처,무릎 인대를 다친 것 같아요.,무릎 인대 상처무릎 인대를 다친 것 같아요.
100,동생 문 손 끼다,동생이 문틈에 손이 끼었어요.,동생 문 손 끼다동생이 문틈에 손이 끼었어요.
101,아프다,너무 아파요.,아프다너무 아파요.
102,빨리 오다 부탁,빨리 와주세요.,빨리 오다 부탁빨리 와주세요.
103,누가 칼 협박 가지다,어떤 사람이 칼로 위협하고 있어요.,누가 칼 협박 가지다어떤 사람이 칼로 위협하고 있어요.
105,왼쪽,왼쪽입니다.,왼쪽왼쪽입니다.
106,왼쪽 ?,왼쪽이요?,왼쪽 ?왼쪽이요?
107,오른쪽,오른쪽입니다.,오른쪽오른쪽입니다.
108,오른쪽 ?,오른쪽이요?,오른쪽 ?오른쪽이요?
109,여기,이것입니다.,여기이것입니다.
110,여기 ?,이것인가요?,여기 ?이것인가요?
111,저기,저것입니다.,저기저것입니다.
112,저기 ?,저것인가요?,저기 ?저것인가요?
113,운전 천천히,천천히 가주세요.,운전 천천히천천히 가주세요.
114,운전 천천히 ?,천천히 가드릴까요?,운전 천천히 ?천천히 가드릴까요?
115,운전 빨리,빨리 가주세요.,운전 빨리빨리 가주세요.
116,가다 빨리 ?,빨리 가드릴까요?,가다 빨리 ?빨리 가드릴까요?
117,시간 급하다,제가 많이 급합니다.,시간 급하다제가 많이 급합니다.
118,시간 급하다 ?,많이 급하세요?,시간 급하다 ?많이 급하세요?
119,급하다,제가 좀 급합니다.,급하다제가 좀 급합니다.
120,급하다 ?,급하세요?,급하다 ?급하세요?
121,약속 늦다,제가 약속시간에 늦었습니다.,약속 늦다제가 약속시간에 늦었습니다.
122,약속 늦다 ?,약속시간에 늦으셨나요?,약속 늦다 ?약속시간에 늦으셨나요?
123,나,접니다,나접니다
124,나 ?,저요?,나 ?저요?
125,당신,당신입니다.,당신당신입니다.
126,당신 ?,그쪽이세요?,당신 ?그쪽이세요?
127,그남자 맞다,이 분입니다.,그남자 맞다이 분입니다.
128,그남자 맞다 ?,이 분이죠?,그남자 맞다 ?이 분이죠?
129,말하다 잘못,제가 잘못 알려드렸습니다.,말하다 잘못제가 잘못 알려드렸습니다.
130,말해주다 잘못 ?,잘못 알려주신건가요?,말해주다 잘못 ?잘못 알려주신건가요?
131,위험,위험합니다.,위험위험합니다.
132,위험 ?,위험한가요?,위험 ?위험한가요?
133,항상,늘 그렇습니다.,항상늘 그렇습니다.
134,항상 ?,늘 그런가요?,항상 ?늘 그런가요?
135,원래,원래 그렇습니다.,원래원래 그렇습니다.
136,원래 ?,원래 그런가요?,원래 ?원래 그런가요?
137,오천원,오천원입니다.,오천원오천원입니다.
138,오천원 ?,오천원인가요?,오천원 ?오천원인가요?
139,만원,만원입니다.,만원만원입니다.
140,만원 ?,만원인가요?,만원 ?만원인가요?
141,택시 기본 오천원,기본 요금은 오천원입니다.,택시 기본 오천원기본 요금은 오천원입니다.
142,택시 기본 돈 얼마 ?,기본 요금은 얼마인가요?,택시 기본 돈 얼마 ?기본 요금은 얼마인가요?
143,택시 기본 만원,기본 요금은 만원입니다.,택시 기본 만원기본 요금은 만원입니다.
144,택시 기본 만원 ?,기본 요금이 만원인가요?,택시 기본 만원 ?기본 요금이 만원인가요?
145,돈 얼마 맞다 확인,요금 확인해주세요.,돈 얼마 맞다 확인요금 확인해주세요.
146,돈 얼마 맞다 확인 ?,요금을 확인하셨어요?,돈 얼마 맞다 확인 ?요금을 확인하셨어요?
147,밤 12시 후 돈 추가,심야 할증 요금이 적용됩니다.,밤 12시 후 돈 추가심야 할증 요금이 적용됩니다.
148,밤 12시 후 돈 추가 ?,심야 할증 요금이 적용되나요?,밤 12시 후 돈 추가 ?심야 할증 요금이 적용되나요?
149,고속 돈주다,고속도로 통행료를 내야 합니다.,고속 돈주다고속도로 통행료를 내야 합니다.
150,고속 돈주다 ?,고속도로 통행료를 내야 하나요?,고속 돈주다 ?고속도로 통행료를 내야 하나요?
151,택시 돈 되다,현금도 됩니다.,택시 돈 되다현금도 됩니다.
152,택시 돈 되다 ?,현금도 되나요?,택시 돈 되다 ?현금도 되나요?
153,장애인복지카드,장애인 복지 카드입니다.,장애인복지카드장애인 복지 카드입니다.
154,장애인복지카드 ?,장애인 복지 카드인가요?,장애인복지카드 ?장애인 복지 카드인가요?
155,어린이교통카드,아이 교통 카드입니다.,어린이교통카드아이 교통 카드입니다.
156,어린이교통카드 되다 ?,아이 교통 카드도 되나요?,어린이교통카드 되다 ?아이 교통 카드도 되나요?
157,카드 1회,1회용 카드입니다.,카드 1회1회용 카드입니다.
158,카드 1회 되다 ?,1회용 카드도 되나요?,카드 1회 되다 ?1회용 카드도 되나요?
159,지금 카드 충전,지금 카드를 충전하겠습니다.,지금 카드 충전지금 카드를 충전하겠습니다.
160,지금 카드 충전 가능 ?,지금 카드를 충전할 수 있나요?,지금 카드 충전 가능 ?지금 카드를 충전할 수 있나요?
161,돈받다,요금을 지불하셔야 합니다.,돈받다요금을 지불하셔야 합니다.
162,돈받다 끝 ?,요금을 지불하셨나요?,돈받다 끝 ?요금을 지불하셨나요?
163,표 사다,승차권을 구입하셔야 합니다.,표 사다승차권을 구입하셔야 합니다.
164,표 사다 ?,승차권을 구입하셨나요?,표 사다 ?승차권을 구입하셨나요?
165,돈 계산 잘못하다,계산을 잘못하였습니다.,돈 계산 잘못하다계산을 잘못하였습니다.
166,돈 계산 틀리다 ?,요금이 맞지 않나요?,돈 계산 틀리다 ?요금이 맞지 않나요?
168,지하철 시간 딱 ?,열차 배차 시간이 일정한가요?,지하철 시간 딱 ?열차 배차 시간이 일정한가요?
169,사람 계산 잘못하다,인원 수가 맞지 않습니다.,사람 계산 잘못하다인원 수가 맞지 않습니다.
170,사람 계산 틀리다 ?,인원 수가 맞지 않나요?,사람 계산 틀리다 ?인원 수가 맞지 않나요?
171,다시,다시 해보세요.,다시다시 해보세요.
172,다시 ?,다시 해볼까요?,다시 ?다시 해볼까요?
173,1호,1호선입니다.,1호1호선입니다.
174,1호 ?,1호선인가요?,1호 ?1호선인가요?
175,2호,2호선입니다.,2호2호선입니다.
176,2호 ?,2호선인가요?,2호 ?2호선인가요?
177,9호,9호선입니다.,9호9호선입니다.
178,9호 ?,9호선인가요?,9호 ?9호선인가요?
179,여기 명동 지하철,여기는 명동역입니다.,여기 명동 지하철여기는 명동역입니다.
180,여기 명동 지하철 ?,여기가 명동역인가요?,여기 명동 지하철 ?여기가 명동역인가요?
181,여기 신촌 지하철,여기는 신촌역입니다.,여기 신촌 지하철여기는 신촌역입니다.
182,여기 신촌 지하철 ?,여기가 신촌역인가요?,여기 신촌 지하철 ?여기가 신촌역인가요?
183,여기 서울 지하철,여기는 서울역입니다.,여기 서울 지하철여기는 서울역입니다.
184,여기 서울 지하철 ?,여기가 서울역인가요?,여기 서울 지하철 ?여기가 서울역인가요?
185,여기 송파 지하철 맞다,여기는 송파역입니다.,여기 송파 지하철 맞다여기는 송파역입니다.
186,여기 송파 지하철 맞다 ?,여기가 송파역인가요?,여기 송파 지하철 맞다 ?여기가 송파역인가요?
187,여기 1호 되다,여기서 1호선을 탈 수 있습니다.,여기 1호 되다여기서 1호선을 탈 수 있습니다.
188,여기 1호 되다 ?,여기서 1호선을 탈 수 있나요?,여기 1호 되다 ?여기서 1호선을 탈 수 있나요?
189,여기 기차 되다,여기서 기차를 탈 수 있습니다.,여기 기차 되다여기서 기차를 탈 수 있습니다.
190,여기 기차 되다 ?,여기서 기차를 탈 수 있나요?,여기 기차 되다 ?여기서 기차를 탈 수 있나요?
191,택시 여기 되다,여기서 택시를 탈 수 있습니다.,택시 여기 되다여기서 택시를 탈 수 있습니다.
192,택시 여기 되다 ?,여기서 택시를 탈 수 있나요?,택시 여기 되다 ?여기서 택시를 탈 수 있나요?
193,도착 곳 명동 지하철,목적지는 명동역입니다.,도착 곳 명동 지하철목적지는 명동역입니다.
194,도착 곳 명동 지하철 ?,목적지가 명동역인가요?,도착 곳 명동 지하철 ?목적지가 명동역인가요?
195,하나 다음 도착,목적지는 다음 역입니다.,하나 다음 도착목적지는 다음 역입니다.
196,하나 다음 내리다 ?,다음 역에서 내리시나요?,하나 다음 내리다 ?다음 역에서 내리시나요?
197,도착 곳 국립박물관,목적지는 국립 박물관입니다.,도착 곳 국립박물관목적지는 국립 박물관입니다.
198,도착 곳 국립박물관 ?,목적지는 국립 박물관인가요?,도착 곳 국립박물관 ?목적지는 국립 박물관인가요?
199,지하철 빨리 오다오다,이번 열차는 급행 열차입니다.,지하철 빨리 오다오다이번 열차는 급행 열차입니다.
200,지하철 빨리 오다오다 ?,이번 열차는 급행 열차인가요?,지하철 빨리 오다오다 ?이번 열차는 급행 열차인가요?
201,지하철오다 중,열차가 들어오고 있습니다.,지하철오다 중열차가 들어오고 있습니다.
202,지하철오다 아직 ?,열차가 아직 안 들어오나요?,지하철오다 아직 ?열차가 아직 안 들어오나요?
203,4사람,모두 4명입니다.,4사람모두 4명입니다.
204,4사람 ?,모두 4명인가요?,4사람 ?모두 4명인가요?
205,지하철 곳 번호 1,1번 승강장입니다.,지하철 곳 번호 11번 승강장입니다.
206,지하철 곳 1 무엇 ?,1번 승강장인가요?,지하철 곳 1 무엇 ?1번 승강장인가요?
207,지하철 곳 12,12번 승강장입니다.,지하철 곳 1212번 승강장입니다.
208,지하철 곳 12 무엇 ?,12번 승강장인가요?,지하철 곳 12 무엇 ?12번 승강장인가요?
209,1호 맞다,1호선이 맞습니다.,1호 맞다1호선이 맞습니다.
210,1호 맞다 ?,1호선이 맞나요?,1호 맞다 ?1호선이 맞나요?
211,지하철 곳 명동 맞다,명동역이 맞습니다.,지하철 곳 명동 맞다명동역이 맞습니다.
212,지하철 곳 명동 맞다 ?,명동역이 맞나요?,지하철 곳 명동 맞다 ?명동역이 맞나요?
213,가능,가능합니다.,가능가능합니다.
214,가능 ?,가능한가요?,가능 ?가능한가요?
215,안되다,안 됩니다.,안되다안 됩니다.
216,안되다 ?,안되나요?,안되다 ?안되나요?
217,타다,타세요.,타다타세요.
218,타다 ?,탈까요?,타다 ?탈까요?
219,1호 곳,1호선을 타는 곳입니다.,1호 곳1호선을 타는 곳입니다.
220,1호 곳 무엇 ?,1호선을 타는 곳은 어디인가요?,1호 곳 무엇 ?1호선을 타는 곳은 어디인가요?
221,신분당 곳,신분당선을 타는 곳입니다.,신분당 곳신분당선을 타는 곳입니다.
222,신분당 곳 무엇 ?,신분당선을 타는 곳은 어디인가요?,신분당 곳 무엇 ?신분당선을 타는 곳은 어디인가요?
223,내리다,내리세요.,내리다내리세요.
224,내리다 ?,내릴까요?,내리다 ?내릴까요?
225,1호 갈아타다 목적,1호선으로 환승하려고 합니다.,1호 갈아타다 목적1호선으로 환승하려고 합니다.
227,9호 갈아타다 목적,9호선으로 환승하려고 합니다.,9호 갈아타다 목적9호선으로 환승하려고 합니다.
229,도착,도착했습니다.,도착도착했습니다.
230,도착 ?,도착했나요?,도착 ?도착했나요?
231,시간 지연되다,지연되었습니다.,시간 지연되다지연되었습니다.
232,시간 지연되다 ?,지연되었나요?,시간 지연되다 ?지연되었나요?
233,시간 지연되다 5분,5분 지연되었습니다.,시간 지연되다 5분5분 지연되었습니다.
234,지연되다 5분 ?,5분 지연되었나요?,지연되다 5분 ?5분 지연되었나요?
235,도착 아직,아직 도착 안 했습니다.,도착 아직아직 도착 안 했습니다.
236,도착 아직 ?,아직 도착 안 했나요?,도착 아직 ?아직 도착 안 했나요?
237,있다,있습니다.,있다있습니다.
238,있다 ?,있나요?,있다 ?있나요?
239,짐 있다,짐이 있습니다.,짐 있다짐이 있습니다.
240,짐 있다 ?,짐이 있으세요?,짐 있다 ?짐이 있으세요?
241,자전거 있다,자전거가 있습니다.,자전거 있다자전거가 있습니다.
242,자전거 있다 ?,자전거가 있으세요?,자전거 있다 ?자전거가 있으세요?
243,약 가깝다,근처에 약국이 있습니다.,약 가깝다근처에 약국이 있습니다.
244,약 가깝다 ?,근처에 약국이 있나요?,약 가깝다 ?근처에 약국이 있나요?
245,택시 곳 가깝다,근처에 택시 승강장이 있습니다.,택시 곳 가깝다근처에 택시 승강장이 있습니다.
246,택시 곳 가깝다 ?,근처에 택시 승강장이 있나요?,택시 곳 가깝다 ?근처에 택시 승강장이 있나요?
247,버스 곳 가깝다,근처에 버스 정류장이 있습니다.,버스 곳 가깝다근처에 버스 정류장이 있습니다.
248,버스 곳 가깝다 ?,근처에 버스 정류장이 있나요?,버스 곳 가깝다 ?근처에 버스 정류장이 있나요?
249,없다,없습니다.,없다없습니다.
250,없다 ?,없으세요?,없다 ?없으세요?
251,짐 없다,짐이 없습니다.,짐 없다짐이 없습니다.
252,짐 없다 ?,짐은 없으세요?,짐 없다 ?짐은 없으세요?
253,물건 없다,물건이 없습니다.,물건 없다물건이 없습니다.
254,물건 없다 ?,물건은 없으세요?,물건 없다 ?물건은 없으세요?
255,짐 차 트렁크열다 나르다,트렁크에 짐을 넣겠습니다.,짐 차 트렁크열다 나르다트렁크에 짐을 넣겠습니다.
256,짐 차 트렁크열다 나르다 ?,트렁크에 짐을 넣을까요?,짐 차 트렁크열다 나르다 ?트렁크에 짐을 넣을까요?
257,뒤 트렁크닫다,트렁크 좀 닫아주세요.,뒤 트렁크닫다트렁크 좀 닫아주세요.
258,뒤 트렁크닫다 ?,트렁크 좀 닫아드릴까요?,뒤 트렁크닫다 ?트렁크 좀 닫아드릴까요?
259,설명 천천히,천천히 설명해주세요.,설명 천천히천천히 설명해주세요.
260,설명 다시 ?,다시 설명해드릴까요?,설명 다시 ?다시 설명해드릴까요?
261,설명 어렵다,설명이 어렵습니다.,설명 어렵다설명이 어렵습니다.
262,설명 어렵다 ?,설명이 어려우신가요?,설명 어렵다 ?설명이 어려우신가요?
263,설명 다시,다시 설명해주세요.,설명 다시다시 설명해주세요.
264,힘들다 ?,힘드세요?,힘들다 ?힘드세요?
265,도착 알려주다,도착하면 알려주세요.,도착 알려주다도착하면 알려주세요.
266,도착 알려주다 ?,도착하면 알려드릴까요?,도착 알려주다 ?도착하면 알려드릴까요?
267,핸드폰 번호,휴대폰 번호입니다.,핸드폰 번호휴대폰 번호입니다.
268,핸드폰 번호 필요 ?,휴대폰 번호를 알려드릴까요?,핸드폰 번호 필요 ?휴대폰 번호를 알려드릴까요?
269,지하철 계단 번호 ?,몇 번 출구인가요?,지하철 계단 번호 ?몇 번 출구인가요?
270,지하철 지하위 곳곳 ?,출구가 어디에 있나요?,지하철 지하위 곳곳 ?출구가 어디에 있나요?
271,버스 번호 ?,몇 번 버스인가요?,버스 번호 ?몇 번 버스인가요?
272,버스 타다 곳곳 ?,버스정류장이 어디에 있나요?,버스 타다 곳곳 ?버스정류장이 어디에 있나요?
273,신분증,주민등록증입니다.,신분증주민등록증입니다.
274,신분증 ?,주민등록증 있으세요?,신분증 ?주민등록증 있으세요?
275,표,승차권입니다.,표승차권입니다.
276,표 ?,승차권 있으세요?,표 ?승차권 있으세요?
277,잠깐 기다리다,잠시만 기다려주세요.,잠깐 기다리다잠시만 기다려주세요.
278,여기 기다리다 ?,여기서 기다릴까요?,여기 기다리다 ?여기서 기다릴까요?
279,여기 있다,여기에 계세요.,여기 있다여기에 계세요.
280,여기 있다 ?,여기에 있을까요?,여기 있다 ?여기에 있을까요?
281,곳 바꾸다,목적지를 변경하고 싶습니다.,곳 바꾸다목적지를 변경하고 싶습니다.
282,곳 바꾸다 ?,목적지를 변경하시겠습니까?,곳 바꾸다 ?목적지를 변경하시겠습니까?
285,도움받다,도와주세요.,도움받다도와주세요.
286,도움받다 가능 ?,도와주실 수 있으세요?,도움받다 가능 ?도와주실 수 있으세요?
287,실수하다,실수입니다.,실수하다실수입니다.
288,실수하다 ?,실수인가요?,실수하다 ?실수인가요?
289,발생하다,사고가 났습니다.,발생하다사고가 났습니다.
290,발생하다 ?,사고가 났나요?,발생하다 ?사고가 났나요?
291,괜찮다,괜찮아요.,괜찮다괜찮아요.
292,괜찮다 ?,괜찮으세요?,괜찮다 ?괜찮으세요?
293,좋다,좋습니다.,좋다좋습니다.
294,좋다 ?,좋으세요?,좋다 ?좋으세요?
295,충분하다,만족합니다.,충분하다만족합니다.
296,충분하다 ?,만족하세요?,충분하다 ?만족하세요?
297,확인,확인하겠습니다.,확인확인하겠습니다.
298,확인 가능 ?,확인 할 수 있을까요?,확인 가능 ?확인 할 수 있을까요?
299,모르다,모르겠습니다.,모르다모르겠습니다.
300,알다 ?,아시겠어요?,알다 ?아시겠어요?
301,필요,필요합니다.,필요필요합니다.
302,필요 ?,필요하세요?,필요 ?필요하세요?
303,택시 문자보내다 나,제가 콜을 불렀습니다.,택시 문자보내다 나제가 콜을 불렀습니다.
304,택시 문자받다 ?,콜을 부르셨나요?,택시 문자받다 ?콜을 부르셨나요?
305,역무원 부르다,제가 역무원을 불렀습니다.,역무원 부르다제가 역무원을 불렀습니다.
306,역무원 부르다 ?,역무원을 불러드릴까요?,역무원 부르다 ?역무원을 불러드릴까요?
307,경찰 부르다,제가 경찰을 불렀습니다.,경찰 부르다제가 경찰을 불렀습니다.
308,경찰 부르다 ?,경찰을 불러드릴까요?,경찰 부르다 ?경찰을 불러드릴까요?
309,마포대교 가다,마포대교로 건너가주세요.,마포대교 가다마포대교로 건너가주세요.
310,마포대교 가다 ?,마포대교로 건너가드릴까요?,마포대교 가다 ?마포대교로 건너가드릴까요?
311,잠실대교 가다,잠실대교로 건너가주세요.,잠실대교 가다잠실대교로 건너가주세요.
312,잠실대교 가다 ?,잠실대교로 건너가드릴까요?,잠실대교 가다 ?잠실대교로 건너가드릴까요?
313,빨리,빨리 가주세요.,빨리빨리 가주세요.
314,빨리 ?,빨리 가드릴까요?,빨리 ?빨리 가드릴까요?
315,약 보다 차내리다,약국 좀 들렀다가주세요.,약 보다 차내리다약국 좀 들렀다가주세요.
316,차내리다 곳곳 ?,어디에서 내려드릴까요?,차내리다 곳곳 ?어디에서 내려드릴까요?
317,어린이집 보다 차내리다,어린이집 좀 들렀다가주세요.,어린이집 보다 차내리다어린이집 좀 들렀다가주세요.
318,어린이집 보다 차내리다 ?,어린이집이 보이면 내려드릴까요?,어린이집 보다 차내리다 ?어린이집이 보이면 내려드릴까요?
319,학교 보다 차내리다,학교 좀 들렀다가주세요.,학교 보다 차내리다학교 좀 들렀다가주세요.
320,학교 보다 차내리다 ?,학교가 보이면 내려드릴까요?,학교 보다 차내리다 ?학교가 보이면 내려드릴까요?
322,사거리 건너다 ?,사거리 지날까요?,사거리 건너다 ?사거리 지날까요?
323,사거리 우회전,사거리에서 우회전 해주세요.,사거리 우회전사거리에서 우회전 해주세요.
324,사거리 우회전 ?,사거리에서 우회전 해드릴까요?,사거리 우회전 ?사거리에서 우회전 해드릴까요?
326,사거리 전 차내리다,사거리 못가서 내려주세요.,사거리 전 차내리다사거리 못가서 내려주세요.
328,신호등 다음 차내리다 ?,저기 신호등 건너서 세워드릴까요?,신호등 다음 차내리다 ?저기 신호등 건너서 세워드릴까요?
329,신호등 곳 차내리다,저기 신호등 앞에 세워주세요.,신호등 곳 차내리다저기 신호등 앞에 세워주세요.
330,신호등 곳 차내리다 ?,저기 신호등 앞에 세워드릴까요?,신호등 곳 차내리다 ?저기 신호등 앞에 세워드릴까요?
